Plazo,Df
0.002739726,0.999916674
0.005479452,0.999833354
0.254794521,0.992906179
0.506849315,0.98619753
0.75890411,0.979555201
1.005479452,0.973384339
1.506849315,0.95994139
2.005479452,0.944977828
3.010958904,0.912039068
4.008219178,0.877303889
5.008219178,0.841533753
6.008219178,0.805238048
7.010958904,0.767170086
8.016438356,0.730756464
9.01369863,0.697992486
10.0109589,0.666352734
12.01369863,0.607965575
15.01643836,0.530814533
20.02191781,0.420673982
